HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
3618,00 46 24.33,+03 47 17.9,10.74,25.74,,
3635,00 46 36.18,-37 39 33.5,11.97,-2.31,,0.82
3656,00 46 48.67,-52 00 35.9,10.37,4.66,G,0.535
3678,00 47 03.35,-11 52 18.9,11.77,1.59,B0,-0.29600000000000004
3680,00 47 05.20,+43 38 57.1,10.6,3.86,,-0.057999999999999996
3694,00 47 20.62,+16 22 11.8,10.88,3.07,F8,0.578
3695,00 47 20.64,-28 18 08.6,10.07,3.04,F2,0.46
3699,00 47 26.53,-23 06 48.2,10.46,1.0,F5,0.54
3701,00 47 29.22,+09 58 55.5,10.31,4.65,A,-0.24100000000000002
3724,00 47 48.45,+06 01 55.2,11.73,20.55,M0,1.4
3729,00 47 52.60,-32 45 20.5,10.59,12.89,,0.938
3747,00 48 06.12,-54 12 03.2,10.87,16.7,,1.0659999999999998
3757,00 48 13.23,-05 08 06.6,12.05,38.91,,1.506
3766,00 48 22.44,-14 07 11.3,10.85,4.21,,0.491
3770,00 48 24.32,-10 41 30.7,10.81,1.56,,0.91
3772,00 48 25.93,-27 32 12.9,10.64,4.37,F8,0.63
3789,00 48 41.55,-01 23 02.5,10.88,5.66,,0.62
3812,00 49 01.31,-56 05 49.3,10.33,-0.22,B5,-0.11
3813,00 49 01.48,-50 08 39.8,10.76,46.32,M2,1.426
3822,00 49 04.55,-22 21 39.1,10.14,1.32,G5,1.024
3829,00 49 09.18,+05 23 42.7,12.37,226.95,DG,0.5539999999999999
3855,00 49 17.01,+20 03 46.9,10.57,19.47,,0.602
3856,00 49 32.46,-61 01 47.6,13.26,,M6,1.5430000000000001
3860,00 49 34.10,+67 57 09.8,10.42,16.59,K3,1.023
3867,00 49 39.35,+29 20 45.7,10.57,3.77,F8,0.615
3913,00 50 14.58,-31 19 57.2,10.41,14.41,,0.9590000000000001
3921,00 50 20.51,-50 00 21.7,11.83,8.49,,0.97
3929,00 50 26.86,+04 33 32.8,10.56,2.3,F5,0.499
3930,00 50 27.31,+59 30 09.8,10.15,21.34,,0.909
3934,00 50 31.58,-73 28 42.5,11.18,3.24,A0Ia:,0.11699999999999999
3937,00 50 33.12,+24 49 00.6,12.01,83.2,,
3945,00 50 38.39,-73 28 18.2,11.04,1.69,B3Ia:,-0.015
3950,00 50 41.68,-37 25 59.3,10.18,6.57,F8,0.39
